month,dow,hour,bike_trips,bike_dur_tot
1,0,0,2132,31120
1,0,1,872,13144
1,0,2,540,8788
1,0,3,372,4964
1,0,4,364,5268
1,0,5,836,10788
1,0,6,2996,85760
1,0,7,9272,190724
1,0,8,13096,322440
1,0,9,9748,167796
1,0,10,8792,212644
1,0,11,9620,222184
1,0,12,10148,328324
1,0,13,12832,313336
1,0,14,17692,231320
1,0,15,15024,203768
1,0,16,13172,202524
1,0,17,13248,197732
1,0,18,12168,245048
1,0,19,11476,225572
1,0,20,10900,165400
1,0,21,7744,117212
1,0,22,4116,59492
1,0,23,3024,39972
1,1,0,1160,18532
1,1,1,484,21340
1,1,2,288,3512
1,1,3,232,3224
1,1,4,212,2420
1,1,5,500,6016
1,1,6,1808,63044
1,1,7,6852,198924
1,1,8,10020,185000
1,1,9,7564,187424
1,1,10,6276,127252
1,1,11,7640,178528
1,1,12,7556,221136
1,1,13,9704,239172
1,1,14,13208,181984
1,1,15,11948,166276
1,1,16,10348,144176
1,1,17,11288,166476
1,1,18,12004,219128
1,1,19,10820,329996
1,1,20,9608,182088
1,1,21,6460,92708
1,1,22,4240,59940
1,1,23,2492,30072
1,2,0,1644,21196
1,2,1,676,8200
1,2,2,308,3668
1,2,3,264,3064
1,2,4,144,1604
1,2,5,532,6452
1,2,6,2204,119824
1,2,7,7548,124700
1,2,8,11264,275896
1,2,9,8612,181544
1,2,10,7436,182664
1,2,11,8404,184320
1,2,12,7840,305064
1,2,13,9088,316928
1,2,14,13860,186236
1,2,15,11400,152332
1,2,16,10552,162416
1,2,17,11040,192656
1,2,18,11780,307988
1,2,19,11332,361928
1,2,20,9892,137768
1,2,21,6596,80596
1,2,22,4076,51440
1,2,23,3336,46548
1,3,0,2196,56240
1,3,1,1032,17236
1,3,2,552,7540
1,3,3,364,5620
1,3,4,276,3256
1,3,5,552,6400
1,3,6,1872,65520
1,3,7,6240,153416
1,3,8,9216,211708
1,3,9,7376,122136
1,3,10,6332,147388
1,3,11,7136,249560
1,3,12,7800,381268
1,3,13,9744,305308
1,3,14,12536,178120
1,3,15,10696,155336
1,3,16,9968,140892
1,3,17,10584,178324
1,3,18,10812,277924
1,3,19,10400,361924
1,3,20,8516,176236
1,3,21,5828,90572
1,3,22,4100,73236
1,3,23,3076,51648
1,4,0,2184,31512
1,4,1,1048,12728
1,4,2,664,9040
1,4,3,428,6568
1,4,4,304,3848
1,4,5,704,8528
1,4,6,2156,114352
1,4,7,6580,164464
1,4,8,10044,201260
1,4,9,7592,115668
1,4,10,7304,338384
1,4,11,7584,461948
1,4,12,8020,363380
1,4,13,9744,154308
1,4,14,14380,217200
1,4,15,11192,173144
1,4,16,10128,162784
1,4,17,10932,283272
1,4,18,10544,379664
1,4,19,10316,157132
1,4,20,9360,126000
1,4,21,6964,126536
1,4,22,4872,73280
1,4,23,3944,58580
1,5,0,5052,86100
1,5,1,3328,110260
1,5,2,2024,32208
1,5,3,1636,23144
1,5,4,1492,23848
1,5,5,1208,35904
1,5,6,1488,23284
1,5,7,1748,25288
1,5,8,2956,39168
1,5,9,4300,57256
1,5,10,5348,108976
1,5,11,7360,185916
1,5,12,8916,203256
1,5,13,9652,181256
1,5,14,8576,135080
1,5,15,7736,132732
1,5,16,8860,182876
1,5,17,9484,165376
1,5,18,8776,126008
1,5,19,8224,117032
1,5,20,7524,102732
1,5,21,6128,81428
1,5,22,4168,53768
1,5,23,4268,67200
1,6,0,4416,61032
1,6,1,2764,35316
1,6,2,1748,27040
1,6,3,1316,16276
1,6,4,988,13504
1,6,5,584,8092
1,6,6,844,11748
1,6,7,1204,22120
