id;mes;dia_semana;tramo_horario;suma_numero_viajes;suma_duracion_total_viajes;suma_tiempo_medio_trayecto_mn;fecha_creacion;fecha_baja
1;Enero;Lunes;00H - 01H;2132;31120;14.6;20230530;NA
9;Enero;Lunes;08H - 09H;13096;322440;24.62;20228130;NA
14;Enero;Lunes;13H - 14H;12832;313336;24.42;20226630;NA
15;Enero;Lunes;14H - 15H;17692;231320;13.07;20226330;NA
18;Enero;Lunes;17H - 18H;13248;197732;14.93;20225430;NA
24;Enero;Lunes;23H - 24H;3024;39972;13.22;20223630;NA
26;Enero;Martes;01H - 02H;484;21340;44.09;20223030;NA
37;Enero;Martes;12H - 13H;7556;221136;29.27;20219730;NA
40;Enero;Martes;15H - 16H;11948;166276;13.92;20218830;NA
41;Enero;Martes;16H - 17H;10348;144176;13.93;20218530;NA
44;Enero;Martes;19H - 20H;10820;329996;30.5;20217630;NA
47;Enero;Martes;22H - 23H;4240;59940;14.14;20216730;NA
48;Enero;Martes;23H - 24H;2492;30072;12.07;20216430;NA
49;Enero;Miercoles;00H - 01H;1644;21196;12.89;20216130;NA
55;Enero;Miércoles;06H - 07H;2204;119824;54.37;20214330;NA
62;Enero;Miércoles;13H - 14H;9088;316928;34.87;20212230;NA
65;Enero;Miércoles;16H - 17H;10552;162416;15.39;20211330;NA
69;Enero;Miércoles;20H - 21H;9892;137768;13.93;20210130;NA
73;Enero;Jueves;00H - 01H;2196;56240;25.61;20208930;NA
75;Enero;Jueves;02H - 03H;552;7540;13.66;20208330;NA
77;Enero;Jueves;04H - 05H;276;3256;11.8;20207730;NA
80;Enero;Jueves;07H - 08H;6240;153416;24.59;20206830;NA
82;Enero;Jueves;09H - 10H;7376;122136;16.56;20206230;NA
85;Enero;Jueves;12H - 13H;7800;381268;48.88;20205330;NA
88;Enero;Jueves;15H - 16H;10696;155336;14.52;20204430;NA
90;Enero;Jueves;17H - 18H;10584;178324;16.85;20203830;NA
92;Enero;Jueves;19H - 20H;10400;361924;34.8;20203230;NA
93;Enero;Jueves;20H - 21H;8516;176236;20.69;20202930;NA
94;Enero;Jueves;21H - 22H;5828;90572;15.54;20202630;NA
95;Enero;Jueves;22H - 23H;4100;73236;17.86;20202330;NA
103;Enero;Viernes;05H - 06H;704;8528;12.11;20200230;NA
109;Enero;Viernes;11H - 12H;7584;461948;60.91;20198430;NA
113;Enero;Viernes;15H - 16H;11192;173144;15.47;20197230;NA
115;Enero;Viernes;17H - 18H;10932;283272;25.91;20196630;NA
120;Enero;Viernes;22H - 23H;4872;73280;15.04;20195130;NA
121;Enero;Viernes;23H - 24H;3944;58580;14.85;20194830;NA
125;Enero;Sábado;02H - 03H;2024;32208;15.91;20193930;NA
130;Enero;Sábado;07H - 08H;1748;25288;14.47;20192430;NA
132;Enero;Sábado;09H - 10H;4300;57256;13.32;20191830;NA
135;Enero;Sábado;12H - 13H;8916;203256;22.8;20190930;NA
137;Enero;Sábado;14H - 15H;8576;135080;15.75;20190330;NA
142;Enero;Sábado;19H - 20H;8224;117032;14.23;20188830;NA
145;Enero;Sábado;22H - 23H;4168;53768;12.9;20187930;NA
150;Enero;Domingo;02H - 03H;1748;27040;15.47;20186730;NA
152;Enero;Domingo;04H - 05H;988;13504;13.67;20186130;NA
155;Enero;Domingo;07H - 08H;1204;22120;18.37;20185230;NA
160;Enero;Domingo;12H - 13H;7744;134216;17.33;20183730;NA
162;Enero;Domingo;14H - 15H;7168;110008;15.35;20183130;NA
165;Enero;Domingo;17H - 18H;8092;125548;15.52;20182230;NA
168;Enero;Domingo;20H - 21H;5744;87852;15.29;20181330;NA
169;Enero;Domingo;21H - 22H;4340;60132;13.86;20181030;NA
180;Febrero;Lunes;06H - 07H;2324;149016;64.12;20178330;NA
181;Febrero;Lunes;07H - 08H;11412;316484;27.73;20178030;NA
187;Febrero;Lunes;13H - 14H;13140;311200;23.68;20176230;NA
188;Febrero;Lunes;14H - 15H;19420;277112;14.27;20175930;NA
189;Febrero;Lunes;15H - 16H;16124;237344;14.72;20175630;NA
190;Febrero;Lunes;16H - 17H;13668;227188;16.62;20175330;NA
199;Febrero;Martes;00H - 01H;1932;32880;17.02;20172930;NA
200;Febrero;Martes;01H - 02H;704;9528;13.53;20172630;NA
201;Febrero;Martes;02H - 03H;364;7176;19.71;20172330;NA
203;Febrero;Martes;04H - 05H;260;2772;10.66;20171730;NA
205;Febrero;Martes;06H - 07H;2464;102928;41.77;20171130;NA
207;Febrero;Martes;08H - 09H;16252;280640;17.27;20170530;NA
216;Febrero;Martes;17H - 18H;15620;246520;15.78;20167830;NA
217;Febrero;Martes;18H - 19H;16396;260296;15.88;20167530;NA
218;Febrero;Martes;19H - 20H;15364;341384;22.22;20167230;NA
221;Febrero;Martes;22H - 23H;4592;57708;12.57;20166330;NA
225;Febrero;Miercoles;01H - 02H;888;11448;12.89;20165430;NA
231;Febrero;Miércoles;07H - 08H;12232;214928;17.57;20163630;NA
232;Febrero;Miércoles;08H - 09H;15956;300708;18.85;20163330;NA
234;Febrero;Miércoles;10H - 11H;10176;178120;17.5;20162730;NA
236;Febrero;Miércoles;12H - 13H;11244;357128;31.76;20162130;NA
240;Febrero;Miércoles;16H - 17H;13668;199496;14.6;20160930;NA
243;Febrero;Miércoles;19H - 20H;15316;310248;20.26;20160030;NA
251;Febrero;Jueves;02H - 03H;676;10360;15.33;20157930;NA
254;Febrero;Jueves;05H - 06H;644;7724;11.99;20157030;NA
270;Febrero;Jueves;21H - 22H;8912;118428;13.29;20152230;NA
274;Febrero;Viernes;00H - 01H;3488;72272;20.72;20151330;NA
276;Febrero;Viernes;02H - 03H;988;17504;17.72;20150730;NA
281;Febrero;Viernes;07H - 08H;9712;257148;26.48;20149230;NA
284;Febrero;Viernes;10H - 11H;8308;232680;28.01;20148330;NA
290;Febrero;Viernes;16H - 17H;11892;178660;15.02;20146530;NA
292;Febrero;Viernes;18H - 19H;12412;306612;24.7;20145930;NA
293;Febrero;Viernes;19H - 20H;12180;196216;16.11;20145630;NA
294;Febrero;Viernes;20H - 21H;11236;224824;20.01;20145330;NA
296;Febrero;Viernes;22H - 23H;5776;112368;19.45;20144730;NA
300;Febrero;Sabado;01H - 02H;3288;79860;24.29;20143830;NA
301;Febrero;Sábado;02H - 03H;2540;50096;19.72;20143530;NA
302;Febrero;Sábado;03H - 04H;2104;29976;14.25;20143230;NA
306;Febrero;Sábado;07H - 08H;1772;27912;15.75;20142030;NA
307;Febrero;Sábado;08H - 09H;3456;44076;12.75;20141730;NA
309;Febrero;Sábado;10H - 11H;4964;139768;28.16;20141130;NA
318;Febrero;Sábado;19H - 20H;8064;133424;16.55;20138430;NA
